url,identifier,title,description,image,currency,cost,created,ended,impressions,language,exclude,interest,placement,residence,match,location,politics,multicultural affinity,industry,employer,clicks,facebook url,tag
https://mith.umd.edu/irads/api/items/6986,2751,Community of people who support our brav…,Community of people who support our brave Police Officers. Back The Badge,https://mith.umd.edu/irads/files/original/2a9848a3dcd24022ae2a6de096b807a3.png,RUB,110587.67,2016-10-19T04:54:17-07:00,,1334544,English (UK)|English (US),,State police|Law enforcement in the United States|Police|Sheriffs in the United States|Law enforcement|Police officer,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,73063,https://www.facebook.com/Copsareheroes/,Back the Badge|badge|blue|crime|illustration|Joy|photograph|red
https://mith.umd.edu/irads/api/items/8844,2647,Brown Power is a platform designed to ed…,"Brown Power is a platform designed to educate, entertain and connect
Chicanos in the US.",https://mith.umd.edu/irads/files/original/de16d6d2093c827eb95234618babaeb9.png,RUB,59571.41,2016-12-09T00:51:10-08:00,,968768,Spanish|English (UK)|English (US)|Spanish (Spain),Exclude people who like Brown Power,Mexico|Latin hip hop|Chicano Movement|Hispanidad|Lowrider|Chicano rap,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,56405,https://www.facebook.com/brownunitedfront/,Brown Power|class|green|illustration|Joy|nation|race|racial identities|racial tensions|red|white
https://mith.umd.edu/irads/api/items/8782,3145,"Staying Woke,bui|ding-up our communities…","Staying Woke,bui|ding-up our communities,up|ifting our people. Join us! Woke
Blacks",https://mith.umd.edu/irads/files/original/bc8869ed23cf9aa2ccdfd1e6602dc17d.png,RUB,58193.59,2016-12-01T07:46:44-08:00,,752179,English (US),Exclude people who like Woke Blacks,Martin Luther King|African-American Civil Rights Movement (1954—68)|African-American history|Malcolm X,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,33444,https://www.facebook.com/Woke-B|acks-294234600956431/,black|blue|common folks|Joy|orange|photograph|race|racial identities|woke|Woke Blacks|world of possibilities
https://mith.umd.edu/irads/api/items/7223,1141,Say it loud: I'm black and I'm proud!,Say it loud: I'm black and I'm proud!,https://mith.umd.edu/irads/files/original/812f8088fa8267a73ba832489ba0f593.png,RUB,120950.66,2015-12-10T01:35:01-08:00,,530762,English (UK)|English (US),Exclude people who like Blacktivist,Human rights|Malcolm X,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,31413,https://www.facebook.com/blacktivists/,Anger|barriers|black|Blacktivist|illustration|race|racial tensions|red
https://mith.umd.edu/irads/api/items/6869,450,United We Stand! Welcome every patriot w…,United We Stand! Welcome every patriot we can reach. Flag and news!,https://mith.umd.edu/irads/files/original/aeebbe03fecc6b6d12a8d7740aebbe71.png,RUB,331675.75,2015-06-23T00:41:02-07:00,,529205,English (UK)|English (US),Exclude people who like Being Patriotic,Independence|Patriotism,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,72043,https://www.facebook.com/patriototus/,bald eagle|Being Patriotic|blue|Joy|nation|non-partisan|patriotism|red|U.S. Flag|white
https://mith.umd.edu/irads/api/items/7000,2774,"Heritage, not hate. The South will rise …","Heritage, not hate. The South will rise again! South United",https://mith.umd.edu/irads/files/original/0866c3b189f1967fa83049506a284730.png,RUB,78357.33,2016-10-14T05:54:10-07:00,,511224,English (UK)|English (US),Exclude people who like South United,Confederate Flag|Confederate States Army|American Civil War|Southern Pride,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,40134,https://www.facebook.com/South-United-1777037362551238/,blue|Confederacy|Confederate flag|empowerment|illustration|Joy|justice|nation|patriotism|red|South United|text|white
https://mith.umd.edu/irads/api/items/7970,1033,This video may bring tears to your eyes.…,"This video may bring tears to your eyes. Make it go viral. We need this unity
in our communities.",https://mith.umd.edu/irads/files/original/2d2cf9d852ce4c22f2389f79986e88cf.png,RUB,1500,2017-02-14T06:35:27-08:00,2017-02-17T06:35:27-08:00,501552,English (UK)|English (US),,Black nationalism|Pan-Africanism|Police misconduct|African-American culture|African-American Civil Rights Movement (1954—68)|African-American history|Black Consciousness Movement|Martin Luther King I”|Stop Police Brutality|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,49197,https://www.facebook.com/Blacktivist-128371547505950/,Blacktivist|non-partisan|redacted
https://mith.umd.edu/irads/api/items/8444,955,This hairdresser from Atlanta is amazing…,"This hairdresser from Atlanta is amazing. She can install Iocs at supersonic
speeds. This hairdresser from Atlanta is amazing. She can install Iocs...",https://mith.umd.edu/irads/files/original/31fd287aa4b63286b6f118676acf7954.png,RUB,523,2017-04-03T08:21:28-07:00,2017-04-05T08:21:28-07:00,489186,English (UK)|English (US),,Black nationalism|Pan-Africanism|Police misconduct|African-American culture|African-American Civil Rights Movement (1954—68)|African-American history|Black Consciousness Movement|Martin Luther King III|Stop Police Brutality|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,26179,https://www.facebook.com/blacktivists/,black|Blacktivist|common folks|red|redacted|Surprise|video|white|wut
https://mith.umd.edu/irads/api/items/7284,1941,Join Us! Support The Police!,Join Us! Support The Police!,https://mith.umd.edu/irads/files/original/72b89e1cb7aab1e443506c2110772cc1.png,RUB,26598.49,2016-04-13T09:15:28-07:00,,418904,,,Police|Police officer|Safety,Instagram Feed,,,,,,,,9211,https://www.facebook.com/Libelibe—1484239251885741/,black|commercial|Joy|non-partisan|pray4police|redacted|white
https://mith.umd.edu/irads/api/items/7387,807,We are proud to be black and stand for o…,"We are proud to be black and stand for our community! Join to end the racism
in the US.",https://mith.umd.edu/irads/files/original/2fb1212622c9939977bc2c24b55429b2.png,RUB,55609.63,2016-04-13T04:43:03-07:00,,371295,English (UK)|English (US),Exclude people who like Williams&Ka|vin,Black (Color)|Racism in the United States,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,16442,https://www.facebook.com/WilliamsandKalvin,Anger|black|civil rights|common folks|Facebook|Joy|non-partisan|photograph|police brutality|protester|race|racial identities|racial tensions|red|text|white|Williams&Kalvin
